rep_parallel,time_parallel,rep_serial,time_serial
1,0.005572,1,0.002
2,0.002466,2,0.002
3,0.00288,3,0.001
4,0.003107,4,0.002
5,0.00323,5,0.002
6,0.003398,6,0.002
7,0.003317,7,0.002
8,0.003411,8,0.003
9,0.003504,9,0.002
10,0.003913,10,0.003
11,0.004363,11,0.003
12,0.004808,12,0.004
13,0.00546,13,0.003
14,0.005741,14,0.004
15,0.006513,15,0.005
16,0.007209,16,0.005
17,0.008339,17,0.006
18,0.00953,18,0.006
19,0.01052,19,0.007
20,0.011739,20,0.007
21,0.012945,21,0.009
22,0.017434,22,0.01
23,0.016113,23,0.011
24,0.018301,24,0.013
25,0.023742,25,0.014
26,0.024099,26,0.017
27,0.026379,27,0.018
28,0.029959,28,0.021
29,0.034816,29,0.024
30,0.042183,30,0.027
31,0.04586,31,0.03
32,0.052397,32,0.036
33,0.066842,33,0.04
34,0.071876,34,0.046
35,0.082229,35,0.053
36,0.097266,36,0.06
37,0.111422,37,0.071
38,0.126323,38,0.08
39,0.152382,39,0.093
40,0.167508,40,0.108
41,0.202787,41,0.124
42,0.228444,42,0.143
43,0.267528,43,0.167
44,0.308759,44,0.192
45,0.366953,45,0.223
46,0.428999,46,0.259
47,0.489484,47,0.301
48,0.569061,48,0.35
49,0.666139,49,0.406
50,0.782032,50,0.476
51,0.920027,51,0.555
52,1.06293,52,0.651
53,1.241155,53,0.76
54,1.458975,54,0.875
55,1.713514,55,1.015
56,2.006008,56,1.189
57,2.363319,57,1.398
58,2.780955,58,1.646
59,3.29228,59,1.931
60,3.847313,60,2.279
61,4.585307,61,2.683
62,5.395589,62,3.18
63,6.357774,63,3.738
64,7.538879,64,4.418
65,8.965097,65,5.226
66,10.623215,66,6.194
67,12.637326,67,7.351
68,15.038118,68,8.727
69,17.895360,69,10.381
70,21.304479,70,12.353
