 batch,IMC_val,history_count,variance,stdv,rel_err,batch_time
1,  1.2529402E+01,1000,  0.0000000E+00,  0.0000000E+00,  2.2733647E+01,  3.7000049E-05
2,  1.2498963E+01,1010,  4.5914364E-07,  6.7760139E-04,  2.2675988E+01,  5.0000381E-06
3,  1.2602709E+01,1020,  5.5818768E-06,  2.3625996E-03,  2.2872508E+01,  5.0000381E-06
4,  1.2297617E+01,1030,  4.9662167E-05,  7.0471389E-03,  2.2294591E+01,  1.7999904E-05
5,  1.2451860E+01,1040,  4.9891699E-05,  7.0634056E-03,  2.2586763E+01,  1.5000114E-05
6,  1.2549602E+01,1050,  5.3706718E-05,  7.3284867E-03,  2.2771910E+01,  2.4999958E-05
7,  1.2350419E+01,1060,  6.8600195E-05,  8.2825235E-03,  2.2394610E+01,  2.4999958E-05
8,  1.2696787E+01,1070,  1.1055839E-04,  1.0514675E-02,  2.3050713E+01,  2.4999958E-05
9,  1.2509135E+01,1080,  1.0965169E-04,  1.0471470E-02,  2.2695256E+01,  2.4999958E-05
10,  1.2538234E+01,1090,  1.0994963E-04,  1.0485687E-02,  2.2750377E+01,  2.1999935E-05
11,  1.2603847E+01,1100,  1.1745004E-04,  1.0837437E-02,  2.2874663E+01,  2.5999965E-05
12,  1.2423117E+01,1111,  1.2276465E-04,  1.1079921E-02,  2.2532318E+01,  2.5999965E-05
13,  1.2508229E+01,1122,  1.2157266E-04,  1.1025999E-02,  2.2693540E+01,  2.5999965E-05
14,  1.1994029E+01,1133,  3.3423579E-04,  1.8282117E-02,  2.1719522E+01,  2.1000160E-05
15,  1.2572307E+01,1144,  3.3987954E-04,  1.8435822E-02,  2.2814918E+01,  2.3999950E-05
16,  1.2332015E+01,1155,  3.5326831E-04,  1.8795433E-02,  2.2359749E+01,  2.6999973E-05
17,  1.2621518E+01,1166,  3.6943622E-04,  1.9220724E-02,  2.2908136E+01,  2.7999980E-05
18,  1.2246149E+01,1177,  4.0814486E-04,  2.0202595E-02,  2.2197098E+01,  2.6999973E-05
